time,EKF_roll [deg],EKF_pitch [deg],EKF_yaw [deg]
59.457978,0.3680289276807987,-0.3780289276807987,-4.04
59.468069,0.34683198076344124,-0.35683198076344125,-4.0389439935878135
59.478235999999995,0.3187635856017587,-0.32752717120351743,-4.028763585601759
59.487851,0.31,-0.3083421976919148,-4.019171098845957
59.497809999999994,0.31081828160861913,-0.2875451551741426,-4.01
59.50801,0.32398882012377705,-0.26,-4.009002794969056
59.518155,0.3611263379013699,-0.2588736620986301,-4.0
59.528067,0.3679165415791042,-0.2468748123686563,-4.0
59.537785,0.3492313095835432,-0.21769392875062968,-3.9992313095835432
59.547731,0.34,-0.18701289613114586,-3.99
59.55807,0.33892088481466587,-0.14892088481466587,-3.99
59.568121999999995,0.33219865959787254,-0.14,-3.99
59.578053,0.3541336534613826,-0.13896658663465436,-3.99
59.587821,0.3908051610322065,-0.12919483896779352,-3.99
59.597763,0.3977462387161307,-0.11699498495484091,-3.9892487462387103
59.608017999999994,0.3648531607765192,-0.07691189646591153,-3.98
59.617979,0.3190500949904981,-0.04905009499049808,-3.980949905009502
59.628212999999995,0.3111798145008451,-0.04,-3.99
59.637822,0.3215435835351115,-0.039228208232444266,-3.99
59.647745,0.34077367896311256,-0.027678963110662452,-3.9892263210368877
59.658271,0.35,-0.0,-3.981267689854495
59.668349,0.347359020670273,0.003961468994590446,-3.99
59.678343,0.3259627515770418,0.03269149894863882,-3.99
59.687763999999994,0.30077823347003796,0.051556466940075936,-3.990778233470038
59.697739,0.31151109334399824,0.07151109334399826,-4.0
59.708014,0.33305909271786427,0.09,-4.0
59.717977,0.36187631552571514,0.09,-4.0
59.728106,0.37781789009225364,0.09218210990774638,-4.0
59.737773999999995,0.3592160783921645,0.11156784321567094,-3.9992160783921644
59.747775999999995,0.34764970059880196,0.13235029940119802,-3.99
59.757999,0.31704751469269954,0.16,-3.99
59.768198999999996,0.2911531513448399,0.16,-3.99115315134484
59.778211,0.30359711509567505,0.158800961634775,-4.0
59.787825999999995,0.3308297467720909,0.15,-4.0
59.797697,0.33787999601315505,0.15212000398684497,-3.999293332004385
59.80802,0.30499949944939203,0.18200020022024319,-3.99
59.818009999999994,0.2590003998400665,0.2,-3.9909996001599337
59.828011,0.24900060144346636,0.19900060144346637,-4.000999398556534
59.837737999999995,0.24224332700188325,0.19074777566729442,-4.01
59.847815,0.2708197865762435,0.20081978657624353,-4.009180213423757
59.858134,0.2788903277218834,0.20889032772188337,-4.0
59.868078999999994,0.26692647649659507,0.2,-4.0
59.878068,0.23788956809299633,0.2,-4.0
59.887752,0.22,0.2,-3.9992429841206385
59.897738999999994,0.21853833865814842,0.2007308306709258,-3.99
59.908305999999996,0.2,0.21,-3.99
59.918344,0.2013180544435555,0.21,-3.99
59.928214,0.21,0.20880092313866944,-3.99
59.937734999999996,0.20850014998500788,0.20149985001499213,-3.99
59.947773,0.18765074626864908,0.22078308457711698,-3.99
59.957989,0.15904317269076035,0.23,-3.99095682730924
59.968092999999996,0.15219663596315872,0.2278033640368413,-4.0010983179815796
59.978460999999996,0.17147567189529497,0.21,-4.01
59.987776999999994,0.18235482579093684,0.21,-4.009215058069688
59.997682,0.20930290373906177,0.21069709626093822,-4.0
60.008072999999996,0.1968892002802546,0.22,-4.0
60.018172,0.16540930979131818,0.21885232744782954,-4.001147672552171
60.028107999999996,0.12888744372186223,0.20888744372186221,-4.01
60.03785,0.12,0.2,-4.01
60.047709,0.12,0.20071194193099068,-4.01
60.058107,0.11893918105178383,0.21,-4.01
60.068126,0.10777064955894204,0.21,-4.01
60.078213,0.08633503146538095,0.21122165617820635,-4.01
60.0877,0.05790989733878996,0.22139340177414002,-4.0106967008870695
60.097798,0.02769879518073285,0.24230120481926715,-4.02
60.108095,0.0,0.2721954137587207,-4.02109770687936
60.118036,0.0020321285140478765,0.2910160642570239,-4.03
60.128071,0.018915277916376753,0.30108472208362325,-4.03
60.137789,0.009217564870256822,0.31156487025948637,-4.03
60.147755999999994,-0.0014637565077987916,0.3314637565077988,-4.03
60.158369,-0.022700926202571657,0.35270092620257165,-4.03
60.168426999999994,-0.04276535750250605,0.37276535750250606,-4.03
60.178345,-0.06,0.3940817754673693,-4.03
60.187819,-0.05834641756930853,0.42413395607672866,-4.029173208784655
60.197745999999995,-0.04209743847312292,0.4727965846308305,-4.019300853842292
60.208079999999995,-0.07321792057473629,0.5121452803831575,-4.01
60.218118,-0.10218746867168306,0.5321874686716831,-4.01
60.228482,-0.12147748826994224,0.5529549765398846,-4.011477488269942
60.23778,-0.13076092390761326,0.5745655434456796,-4.019239076092386
60.24774,-0.14,0.6350284346004288,-4.01
60.257998,-0.14,0.7038203820382224,-4.009044904490445
60.268055999999994,-0.14102228047181922,0.7430668414154576,-4.0
60.277995,-0.15,0.7720624314351207,-4.0010312157175605
60.287696999999994,-0.14929857538583266,0.792104273842502,-4.01
60.297754,-0.1413283536893136,0.8226567073786272,-4.01
60.308175999999996,-0.16,0.8646966966967015,-4.01
60.318031999999995,-0.16,0.903115753698516,-4.011038584566172
60.328024,-0.15897351324337772,0.9330794602698669,-4.02
60.337711999999996,-0.15,0.9621217252714356,-4.019292758242854
60.347722,-0.15136404606910392,0.990682023034552,-4.01
60.358014,-0.17198932850095616,1.0009946642504781,-4.01
60.36806,-0.1910975974479165,1.0110975974479164,-4.012195194895833
60.378167,-0.1976521045282289,1.0246957909435424,-4.028826052264114
60.387774,-0.18,1.0645530083091663,-4.02
60.397872,-0.18259840159840166,1.1234645354645356,-4.019133866133866
