time,Vicon_Rx [deg],Vicon_Ry [deg],Vicon_Rz [deg]
63.189572,0.5546617745012276,0.8516907158356288,-3.9821292584526975
63.199794,0.5551329864510551,0.8037436824009183,-3.9781440619678308
63.209728999999996,0.5486671863808912,0.7422386397980083,-3.96864329872728
63.219592999999996,0.5694210297939,0.69846030977077,-3.9574229287153595
63.230112999999996,0.5626412202040992,0.6657217076218263,-3.973069432072142
63.23959,0.5520366766895369,0.61568962920437,-3.9590495329774202
63.249804999999995,0.5335548229286251,0.5537120740374136,-3.9740970719847595
63.259885,0.5174381675938984,0.5174904786405768,-3.9796421919035
63.269492,0.5411280873914616,0.514433800369784,-3.961333629227694
63.279731,0.5131082281332607,0.4770605598047095,-3.993791568000771
63.289564,0.49412825632442414,0.41663260910168964,-3.976042303806246
63.299771,0.4970605110804779,0.41028390441617474,-3.9990029056263894
63.309813999999996,0.4869637972484713,0.40606894039629593,-4.0046599070137585
63.319596,0.49598062887610633,0.3790439535944452,-4.0116639837437145
63.32975,0.47594733145666984,0.35425302090907257,-4.050581420051184
63.339487,0.4689903002912905,0.35273891118052486,-4.03437400247209
63.349799,0.4389508736672785,0.3256738975471076,-4.045302799991662
63.360034,0.4090225836667931,0.29844315014187867,-4.0518848531984535
63.369532,0.4603854654254446,0.28809106329103323,-4.072871128400198
63.379932,0.4614409682756033,0.2948303876830211,-4.062431986341926
63.389669999999995,0.45805188853993645,0.27352904298972497,-4.056264061299876
63.399966,0.42504828195152955,0.2551706501745005,-4.075570034635017
63.410028,0.40403863007176255,0.24683319752288502,-4.080395897715205
63.419568999999996,0.40444614057399303,0.23031277310035758,-4.079582738823616
63.43006,0.39151905534108483,0.22670792891820635,-4.100265695898209
63.439553,0.3907396264749104,0.2191965782747511,-4.122042337730445
63.449740999999996,0.3743248153627533,0.22516897573964506,-4.127279504293442
63.459849999999996,0.34621559187729617,0.21247482076877094,-4.146512660422385
63.469493,0.3341253286929221,0.19980434614357104,-4.155668766630848
63.479769,0.28947291144216236,0.208637653659855,-4.1493664027717365
63.489577,0.26696521557039427,0.20891574445529573,-4.161954549091355
63.499869,0.23463263423335598,0.21435884923862045,-4.173909302027605
63.509884,0.18830689947146653,0.22119929495186627,-4.166002839688614
63.519586,0.1905188947128746,0.2295823550439857,-4.187737523821546
63.529928999999996,0.17864493455530686,0.23509482209797816,-4.179531118076792
63.539603,0.17326128560238724,0.2063597854607632,-4.178889783498395
63.549786999999995,0.1651014384080954,0.21312059004052075,-4.17919567420606
63.559922,0.14576509258025008,0.226902264743172,-4.175386135122011
63.569596,0.12338015864566071,0.2279925117540479,-4.17059731949284
63.579744999999996,0.09204308001851032,0.244364780749923,-4.196560712903144
63.589631,0.06498206563053081,0.26630459523262834,-4.190634169250581
63.600209,0.027463219300987565,0.2824705822335136,-4.2196101804772645
63.610085999999995,-0.0024380500098589086,0.29853713813862665,-4.208951171594675
63.619575,-0.04354502161307527,0.3008286370036197,-4.200918744484445
63.629740999999996,-0.11544904766237946,0.329916776070792,-4.220700072254301
63.639491,-0.15921617636473906,0.3483534979461879,-4.206738752364547
63.6498,-0.18356587998164198,0.3721222567363196,-4.193576811731427
63.659788,-0.21839144652192785,0.42975255192855955,-4.220956940693043
63.669644999999996,-0.22502405752452254,0.4646183687538744,-4.2050112903418135
63.679905999999995,-0.24062027237562175,0.50619239836296,-4.218296342416391
63.689572999999996,-0.2368827540864117,0.5255925143933857,-4.227727279290445
63.699721999999994,-0.23483688222818552,0.5597395442056018,-4.222833297257969
63.709959999999995,-0.2311230958508611,0.598512262833158,-4.252860193295001
63.719519,-0.23834857493201766,0.6117671887868468,-4.263901164491681
63.730084,-0.2451238352369026,0.6265311251447259,-4.256805294193358
63.739428,-0.28631355340491293,0.6520634537578467,-4.275035883042804
63.749829999999996,-0.2814076252023918,0.6810600800059757,-4.281668591448261
63.75975,-0.32100496760704283,0.6971956715958242,-4.270232353857434
63.769724,-0.32499157356806085,0.7126938247202823,-4.290911729945826
63.779776,-0.3096436385183184,0.7521631798126291,-4.27373757213817
63.789483999999995,-0.304753019748118,0.7720659001505098,-4.282254268906444
63.799839999999996,-0.29495771036424323,0.7819606635484544,-4.3034800863031855
63.810266,-0.31875108915083694,0.8172436222965757,-4.314907339915775
63.819567,-0.32557231213005394,0.8330177004360149,-4.350612178947614
63.829933999999994,-0.32557070784822073,0.8313938463713502,-4.349999263075816
63.839479,-0.3531161408632738,0.8544751875876219,-4.369521923319482
63.850106999999994,-0.3350659477756179,0.8489420997825632,-4.388328122758635
63.860026,-0.3369646153171299,0.8950100379141204,-4.383358951474703
63.869602,-0.32152166094664486,0.9008196236919048,-4.4091869950650615
63.879785,-0.30657306602096884,0.9130626889906672,-4.399112867229325
63.889526,-0.2697994085997767,0.9316101235008134,-4.429165895871405
63.899749,-0.24946601880558997,0.910299582834881,-4.464319870360702
63.909746,-0.2902976612700101,0.9089488405624646,-4.442574368784566
63.919576,-0.2943124911320008,0.9111854386115394,-4.480630512016116
63.929832999999995,-0.27313037895587194,0.9297480393145268,-4.464226730341478
63.939446999999994,-0.27136876291897377,0.9281157341223889,-4.465665387258017
63.94996,-0.2507580386336211,0.9019132740720792,-4.476214462728429
63.959849,-0.24074475891575348,0.9082457468633316,-4.494070996081321
63.969629,-0.2728272155273539,0.8947764544801498,-4.507430355052332
63.980278,-0.3001196934053764,0.8640159547414141,-4.501461068748265
63.989565999999996,-0.2681366850783148,0.8627387630611323,-4.506729484429428
63.999888999999996,-0.27706618647882686,0.8749108274299264,-4.497888396146296
